#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
52.96  7.69519  240.217  4.1437 
53.058  7.69523  240.615  4.13833 
53.156  7.69528  241.011  4.13301 
53.254  7.69369  241.407  4.12857 
53.352  7.69375  241.801  4.12326 
53.45  7.69383  242.194  4.11798 
53.548  7.69658  242.586  4.1119 
53.646  7.69503  242.976  4.10713 
53.744  7.69514  243.366  4.10202 
53.842  7.69525  243.754  4.09694 
53.94  7.69374  244.141  4.09245 
54.038  7.69387  244.527  4.08739 
54.136  7.69402  244.912  4.08237 
54.234  7.69253  245.296  4.07813 
54.332  7.6927  245.679  4.07311 
54.43  7.69124  246.06  4.06915 
54.528  7.69408  246.441  4.06285 
54.626  7.69163  246.82  4.05913 
54.724  7.69449  247.198  4.05324 
54.822  7.69307  247.575  4.04885 
54.92  7.6933  247.951  4.04407 
55.018  7.69354  248.326  4.03935 
55.116  7.69216  248.7  4.03514 
55.214  7.69243  249.072  4.03041 
55.312  7.69107  249.444  4.02642 
55.41  7.69136  249.814  4.02168 
55.508  7.69165  250.184  4.01699 
55.606  7.69033  250.552  4.01314 
55.704  7.69065  250.919  4.00843 
55.802  7.69098  251.285  4.00379 
55.9  7.6897  251.65  4.00005 
55.998  7.69005  252.014  3.99539 
56.096  7.69042  252.377  3.9908 
56.194  7.68917  252.739  3.98715 
56.292  7.68956  253.1  3.98254 
56.39  7.68834  253.459  3.97903 
56.488  7.68875  253.818  3.97441 
56.586  7.68917  254.176  3.96986 
56.684  7.68798  254.532  3.9664 
56.782  7.68843  254.888  3.96184 
56.88  7.68889  255.242  3.95736 
56.978  7.68774  255.596  3.95392 
57.076  7.68822  255.948  3.94943 
57.174  7.68709  256.299  3.94609 
57.272  7.68759  256.65  3.94159 
57.37  7.68811  256.999  3.93719 
57.468  7.68702  257.347  3.93384 
57.566  7.68756  257.695  3.92943 
57.664  7.6881  258.041  3.92513 
57.762  7.68705  258.386  3.92176 
57.86  7.68762  258.731  3.91745 
57.958  7.68659  259.074  3.91415 
58.056  7.68719  259.416  3.90986 
58.154  7.68779  259.758  3.90568 
58.252  7.6868  260.098  3.90232 
58.35  7.68743  260.437  3.89817 
58.448  7.68646  260.776  3.89486 
58.546  7.68711  261.113  3.89072 
58.644  7.68617  261.449  3.88745 
58.742  7.68684  261.785  3.88334 
58.84  7.68753  262.119  3.87938 
58.938  7.68662  262.453  3.87603 
59.036  7.68733  262.785  3.87211 
59.134  7.68385  263.117  3.87054 
59.232  7.68458  263.448  3.86624 
59.33  7.68373  263.777  3.86329 
59.428  7.68448  264.106  3.85903 
59.526  7.68524  264.434  3.85494 
59.624  7.68442  264.761  3.85188 
59.722  7.6852  265.087  3.84785 
59.82  7.6844  265.412  3.84479 
59.918  7.68521  265.736  3.84083 
60.016  7.68443  266.059  3.83776 
60.114  7.68526  266.381  3.83388 
60.212  7.6861  266.703  3.8302 
60.31  7.68536  267.023  3.82701 
60.408  7.68365  267.343  3.82446 
60.506  7.68293  267.661  3.82156 
60.604  7.68381  267.979  3.81758 
60.702  7.68312  268.296  3.81465 
60.8  7.68402  268.612  3.81078 
60.898  7.68335  268.927  3.80783 
60.996  7.68427  269.241  3.80409 
61.094  7.68521  269.554  3.80058 
61.192  7.68201  269.866  3.79886 
61.29  7.68296  270.178  3.79494 
61.388  7.68235  270.488  3.79209 
61.486  7.68333  270.798  3.78833 
61.584  7.68273  271.107  3.78543 
61.682  7.68373  271.415  3.78184 
61.78  7.68316  271.722  3.77891 
61.878  7.68162  272.028  3.77662 
61.976  7.68107  272.333  3.77388 
62.074  7.68211  272.638  3.77005 
62.172  7.68159  272.942  3.76727 
62.27  7.68265  273.245  3.76365 
62.368  7.68214  273.547  3.76082 
62.466  7.68067  273.848  3.75867 
62.564  7.68019  274.148  3.75599 
62.662  7.68129  274.447  3.75218 
62.76  7.68082  274.746  3.74946 
62.858  7.68195  275.044  3.7459 
62.956  7.67896  275.341  3.74499 
63.054  7.6801  275.637  3.74102 
63.152  7.67968  275.932  3.73838 
63.25  7.68084  276.227  3.73467 
63.348  7.68044  276.521  3.73199 
63.446  7.68162  276.813  3.72858 
63.544  7.6787  277.106  3.72749 
63.642  7.6799  277.397  3.72367 
63.74  7.67954  277.687  3.72105 
63.838  7.68076  277.977  3.71755 
63.936  7.68042  278.266  3.71489 
64.034  7.67912  278.554  3.71284 
64.132  7.6788  278.841  3.71026 
64.23  7.68006  279.128  3.70672 
64.328  7.67976  279.414  3.70411 
64.426  7.6785  279.699  3.70213 
64.524  7.67822  279.983  3.69959 
64.622  7.67952  280.266  3.69604 
64.72  7.67926  280.549  3.69347 
64.818  7.68057  280.831  3.69033 
64.916  7.6778  281.112  3.68902 
65.014  7.67913  281.392  3.68551 
65.112  7.67891  281.672  3.68297 
65.21  7.68026  281.95  3.67991 
65.308  7.67753  282.228  3.67854 
65.406  7.6789  282.506  3.67512 
65.504  7.67872  282.782  3.67261 
65.602  7.67602  283.058  3.67197 
65.7  7.67742  283.333  3.66818 
65.798  7.67726  283.607  3.66571 
65.896  7.67867  283.881  3.66241 
65.994  7.67854  284.154  3.65994 
66.092  7.67745  284.426  3.65794 
66.19  7.67733  284.697  3.65549 
66.288  7.67878  284.968  3.6524 
66.386  7.67616  285.238  3.65129 
66.484  7.67607  285.507  3.64886 
66.582  7.67754  285.776  3.64546 
66.68  7.67747  286.043  3.64305 
66.778  7.67645  286.31  3.64117 
66.876  7.67639  286.577  3.63876 
66.974  7.67789  286.842  3.63566 
67.072  7.67535  287.107  3.63467 
67.17  7.67687  287.372  3.63127 
67.268  7.67685  287.635  3.6289 
67.366  7.67433  287.898  3.62834 
67.464  7.67588  288.16  3.62469 
67.562  7.67588  288.421  3.62233 
67.66  7.67744  288.682  3.61936 
67.758  7.67496  288.942  3.61826 
67.856  7.675  289.202  3.6159 
67.954  7.67658  289.46  3.61273 
68.052  7.67413  289.718  3.61196 
68.15  7.67573  289.976  3.60853 
68.248  7.67579  290.232  3.60623 
68.346  7.67491  290.488  3.60445 
68.444  7.67499  290.744  3.60214 
68.542  7.67663  290.998  3.59925 
68.64  7.67423  291.252  3.59816 
68.738  7.67433  291.505  3.59584 
68.836  7.67599  291.758  3.59282 
68.934  7.67362  292.01  3.59193 
69.032  7.67375  292.261  3.58961 
69.13  7.67542  292.512  3.58648 
69.228  7.67308  292.762  3.58575 
69.326  7.67477  293.011  3.58243 
69.424  7.67493  293.26  3.58022 
69.522  7.67261  293.508  3.57962 
69.62  7.67433  293.756  3.57623 
69.718  7.67451  294.003  3.57403 
69.816  7.67375  294.249  3.57231 
69.914  7.67395  294.494  3.57009 
70.012  7.67167  294.739  3.56977 
70.11  7.67343  294.983  3.5662 
70.208  7.67365  295.227  3.56399 
70.306  7.67293  295.47  3.56236 
70.404  7.67317  295.712  3.56013 
70.502  7.67093  295.954  3.56 
70.6  7.67272  296.195  3.55631 
70.698  7.67298  296.436  3.55411 
70.796  7.67076  296.676  3.55394 
70.894  7.67257  296.915  3.55031 
70.992  7.67285  297.154  3.54813 
71.09  7.6722  297.392  3.54654 
71.188  7.67249  297.629  3.54435 
71.286  7.67032  297.866  3.54421 
