#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
54.528  25.7405  219.598  15.4968 
54.626  25.7487  219.921  15.475 
54.724  25.7468  220.242  15.4541 
54.822  25.7387  220.562  15.4337 
54.92  25.7369  220.882  15.413 
55.018  25.7352  221.2  15.3924 
55.116  25.7335  221.517  15.372 
55.214  25.7257  221.834  15.3521 
55.312  25.7242  222.149  15.3319 
55.41  25.7166  222.463  15.3123 
55.508  25.7253  222.777  15.2915 
55.606  25.724  223.089  15.2717 
55.704  25.7228  223.401  15.252 
55.802  25.7154  223.711  15.2327 
55.9  25.7143  224.021  15.2132 
55.998  25.7133  224.33  15.1938 
56.096  25.7062  224.637  15.1749 
56.194  25.7053  224.944  15.1557 
56.292  25.7045  225.25  15.1366 
56.39  25.6975  225.555  15.118 
56.488  25.6969  225.859  15.0991 
56.586  25.6901  226.162  15.0809 
56.684  25.6895  226.464  15.0622 
56.782  25.689  226.766  15.0436 
56.88  25.6825  227.066  15.0256 
56.978  25.6821  227.365  15.0072 
57.076  25.6818  227.664  14.9889 
57.174  25.6754  227.962  14.9713 
57.272  25.6753  228.258  14.9532 
57.37  25.669  228.554  14.9357 
57.468  25.669  228.849  14.9178 
57.566  25.6691  229.143  14.9 
57.664  25.663  229.436  14.8828 
57.762  25.6632  229.729  14.8652 
57.86  25.6573  230.02  14.8483 
57.958  25.6576  230.311  14.8308 
58.056  25.6579  230.6  14.8134 
58.154  25.6522  230.889  14.7967 
58.252  25.6527  231.177  14.7795 
58.35  25.6532  231.464  14.7625 
58.448  25.6477  231.75  14.746 
58.546  25.6484  232.036  14.7291 
58.644  25.643  232.32  14.7129 
58.742  25.6437  232.604  14.6961 
58.84  25.6446  232.887  14.6796 
58.938  25.6394  233.169  14.6635 
59.036  25.6403  233.45  14.6471 
59.134  25.6352  233.73  14.6312 
59.232  25.6363  234.01  14.615 
59.33  25.6374  234.288  14.5989 
59.428  25.6325  234.566  14.5832 
59.526  25.6338  234.843  14.5673 
59.624  25.629  235.12  14.5517 
59.722  25.6205  235.395  14.5365 
59.82  25.6159  235.67  14.5213 
59.918  25.6173  235.943  14.5055 
60.016  25.6128  236.216  14.4904 
60.114  25.6144  236.489  14.4748 
60.212  25.61  236.76  14.4599 
60.31  25.6117  237.031  14.4445 
60.408  25.6134  237.3  14.4293 
60.506  25.6092  237.569  14.4144 
60.604  25.6012  237.838  14.4 
60.702  25.5971  238.105  14.3854 
60.8  25.5991  238.372  14.3704 
60.898  25.5951  238.638  14.3559 
60.996  25.5971  238.903  14.341 
61.094  25.5932  239.167  14.3267 
61.192  25.5954  239.431  14.312 
61.29  25.5819  239.694  14.2988 
61.388  25.5841  239.956  14.284 
61.486  25.5865  240.217  14.2695 
61.584  25.5828  240.478  14.2555 
61.682  25.5853  240.738  14.2411 
61.78  25.5817  240.997  14.2273 
61.878  25.5843  241.255  14.2132 
61.976  25.5711  241.513  14.2002 
62.074  25.5738  241.769  14.186 
62.172  25.5705  242.026  14.1724 
62.27  25.5732  242.281  14.1585 
62.368  25.57  242.536  14.145 
62.466  25.5728  242.789  14.1313 
62.564  25.56  243.043  14.1187 
62.662  25.563  243.295  14.1049 
62.76  25.56  243.547  14.0917 
62.858  25.563  243.798  14.0782 
62.956  25.5601  244.048  14.0651 
63.054  25.5535  244.298  14.0524 
63.152  25.5507  244.547  14.0395 
63.25  25.5539  244.795  14.0261 
63.348  25.5512  245.043  14.0133 
63.446  25.5545  245.289  14.0002 
63.544  25.5423  245.536  13.9882 
63.642  25.5457  245.781  13.9751 
63.74  25.5432  246.026  13.9625 
63.838  25.5467  246.27  13.9496 
63.936  25.5346  246.513  13.9379 
64.034  25.5323  246.756  13.9255 
64.132  25.5359  246.998  13.9126 
64.23  25.5336  247.239  13.9003 
64.328  25.5277  247.48  13.8885 
64.426  25.5255  247.72  13.8763 
64.524  25.5293  247.959  13.8636 
64.622  25.5272  248.198  13.8516 
64.72  25.5215  248.436  13.8399 
64.818  25.5195  248.673  13.828 
64.916  25.5235  248.91  13.8155 
65.014  25.5216  249.146  13.8037 
65.112  25.5101  249.381  13.7929 
65.21  25.5142  249.616  13.7805 
65.308  25.5124  249.85  13.7688 
65.406  25.5166  250.083  13.7567 
65.504  25.5054  250.316  13.746 
65.602  25.5096  250.548  13.7338 
65.7  25.508  250.779  13.7224 
65.798  25.5028  251.01  13.7113 
65.896  25.5013  251.241  13.6999 
65.994  25.5057  251.47  13.6881 
66.092  25.5043  251.699  13.6768 
66.19  25.4933  251.927  13.6665 
66.288  25.4979  252.155  13.6547 
66.386  25.4966  252.382  13.6435 
66.484  25.4917  252.609  13.6328 
66.582  25.4904  252.834  13.6217 
66.68  25.4951  253.06  13.6103 
66.778  25.494  253.284  13.5993 
66.876  25.4833  253.508  13.5893 
66.974  25.4881  253.732  13.5779 
67.072  25.4871  253.955  13.5671 
67.17  25.4825  254.177  13.5566 
67.268  25.4815  254.398  13.5459 
67.366  25.4865  254.619  13.5349 
67.464  25.4761  254.84  13.5249 
67.562  25.4753  255.06  13.5144 
67.66  25.4709  255.279  13.5042 
67.758  25.4701  255.497  13.4937 
67.856  25.4752  255.715  13.4827 
67.954  25.4746  255.933  13.4723 
68.052  25.4645  256.15  13.4629 
68.15  25.4697  256.366  13.4519 
68.248  25.4691  256.582  13.4417 
68.346  25.465  256.797  13.4317 
68.444  25.4645  257.011  13.4215 
68.542  25.4546  257.225  13.4125 
68.64  25.46  257.439  13.4016 
68.738  25.4596  257.652  13.3915 
68.836  25.4498  257.864  13.3826 
68.934  25.4553  258.076  13.3719 
69.032  25.455  258.287  13.3619 
69.13  25.4512  258.498  13.3523 
69.228  25.451  258.708  13.3425 
69.326  25.4566  258.917  13.3323 
69.424  25.447  259.126  13.3232 
69.522  25.4469  259.334  13.3134 
69.62  25.4433  259.542  13.3041 
69.718  25.4432  259.75  13.2944 
69.816  25.449  259.956  13.2844 
69.914  25.4397  260.163  13.2755 
70.012  25.4397  260.368  13.2659 
70.11  25.4456  260.573  13.2561 
70.208  25.4363  260.778  13.2473 
70.306  25.4365  260.982  13.2378 
70.404  25.4331  261.186  13.2287 
70.502  25.4333  261.389  13.2194 
70.6  25.4242  261.591  13.2112 
70.698  25.4303  261.793  13.2011 
70.796  25.4306  261.995  13.1918 
70.894  25.4274  262.196  13.1829 
70.992  25.4278  262.396  13.1737 
71.09  25.4188  262.596  13.1656 
71.188  25.4251  262.795  13.1558 
71.286  25.4255  262.994  13.1467 
71.384  25.4167  263.192  13.1386 
71.482  25.423  263.39  13.129 
71.58  25.4143  263.588  13.1209 
71.678  25.4148  263.784  13.1119 
71.776  25.4119  263.981  13.1033 
71.874  25.4126  264.177  13.0944 
71.972  25.419  264.372  13.0851 
72.07  25.4104  264.567  13.0771 
72.168  25.4112  264.761  13.0683 
72.266  25.4026  264.955  13.0606 
72.364  25.4092  265.148  13.0511 
72.462  25.41  265.341  13.0425 
72.56  25.4073  265.533  13.0341 
72.658  25.3989  265.725  13.0265 
72.756  25.3999  265.917  13.0178 
72.854  25.4066  266.107  13.0088 
72.952  25.3983  266.298  13.001 
73.05  25.3993  266.488  12.9925 
73.148  25.3967  266.677  12.9844 
73.246  25.3978  266.866  12.9759 
73.344  25.3896  267.055  12.9686 
73.442  25.3965  267.243  12.9595 
73.54  25.3884  267.43  12.9521 
73.638  25.3895  267.617  12.9437 
